"legislator","period","coord1D","coord2D","se1D","se2D","nombres","partido","region","distrito"
74,1,-0.570233821868896,0.68047571182251,0,0,"Jaime Naranjo Ortiz","PS","Región del Maule",18
172,1,0.696494519710541,-0.341305643320084,0,0,"Carlos Kuschel Silva","RN","Región de Los Lagos",26
660,1,-0.0874927416443825,0.547116577625275,0,0,"Manuel Matta Aragay","DC","Región del Maule",18
803,1,-0.338216602802277,-0.425412446260452,0,0,"René Alinco Bustos","IND","Región de Aysén del General Carlos Ibáñez del Campo",27
810,1,-0.147016316652298,0.627320468425751,0,0,"Gabriel Ascencio Mansilla","DC","Región de Los Lagos",26
811,1,0.64714127779007,-0.244698479771614,0,0,"Ramón Barros Montero","UDI","Región del Libertador General Bernardo O' Higgins",16
815,1,0.420479357242584,-0.265857338905334,0,0,"Sergio Bobadilla Muñoz","UDI","Región del Bío Bío",20
827,1,-0.601828694343567,0.102273270487785,0,0,"Marcelo Díaz Díaz","PS","Región de Valparaíso",7
837,1,-0.50580507516861,0.764508485794067,0,0,"Fidel Espinoza Sandoval","PS","Región de Los Lagos",25
843,1,0.544451892375946,-0.767857432365417,0,0,"René Manuel García García","RN","Región de La Araucanía",23
848,1,-0.593513190746307,-0.0226642526686192,0,0,"Rodrigo González Torres","PPD","Región de Valparaíso",7
850,1,0.467041701078415,-0.596107661724091,0,0,"Javier Hernández Hernández","UDI","Región de Los Lagos",25
855,1,-0.250835239887238,0.734405517578125,0,0,"Carlos Abel Jarpa Wevar","PRad","Región del Bío Bío",19
856,1,-0.478512138128281,0.45942223072052,0,0,"Tucapel Jiménez Fuentes","PPD","Región Metropolitana de Santiago",13
862,1,-0.0896400660276413,0.254526019096375,0,0,"Pablo Lorenzini Basso","DC","Región del Maule",17
865,1,0.620113015174866,-0.0769880264997482,0,0,NA,NA,NA,NA
866,1,-0.116793721914291,-0.251435518264771,0,0,"Fernando Meza Moncada","PRad","Región de La Araucanía",23
869,1,-0.532831490039825,0.559263229370117,0,0,"Manuel Monsalve Benavides","PS","Región del Bío Bío",21
872,1,-0.415921717882156,-0.0854672268033028,0,0,"Jaime Mulet Martínez","FRVS","Región de Atacama",4
875,1,0.354591399431229,-0.84015554189682,0,0,"Iván Norambuena Farías","UDI","Región del Bío Bío",21
879,1,-0.00740230828523636,0.351884663105011,0,0,"José Miguel Ortiz Novoa","DC","Región del Bío Bío",20
885,1,-0.201201274991035,-0.122638866305351,0,0,"José Pérez Arriagada","PRad","Región del Bío Bío",21
893,1,-0.0113785937428474,0.0994558185338974,0,0,"Jorge Sabag Villalobos","DC","Región del Bío Bío",19
