"legislator","period","coord1D","coord2D","se1D","se2D","nombres","partido","region","distrito"
74,3,0.551905691623688,0.6370809674263,0,0,"Jaime Naranjo Ortiz","PS","Región del Maule",18
172,3,-0.702831387519836,-0.383320719003677,0,0,"Carlos Kuschel Silva","RN","Región de Los Lagos",26
660,3,0.0677324458956718,0.582342326641083,0,0,"Manuel Matta Aragay","DC","Región del Maule",18
803,3,0.428173393011093,-0.422623783349991,0,0,"René Alinco Bustos","IND","Región de Aysén del General Carlos Ibáñez del Campo",27
810,3,0.218848809599876,0.619728922843933,0,0,"Gabriel Ascencio Mansilla","DC","Región de Los Lagos",26
811,3,-0.661883473396301,-0.217893034219742,0,0,"Ramón Barros Montero","UDI","Región del Libertador General Bernardo O' Higgins",16
815,3,-0.420479357242584,-0.265857338905334,0,0,"Sergio Bobadilla Muñoz","UDI","Región del Bío Bío",20
827,3,0.631552517414093,0.0982120707631111,0,0,"Marcelo Díaz Díaz","PS","Región de Valparaíso",7
837,3,0.463601768016815,0.488744467496872,0,0,"Fidel Espinoza Sandoval","PS","Región de Los Lagos",25
843,3,-0.552238166332245,-0.778774440288544,0,0,"René Manuel García García","RN","Región de La Araucanía",23
848,3,0.59503561258316,-0.0638793334364891,0,0,"Rodrigo González Torres","PPD","Región de Valparaíso",7
850,3,-0.465431779623032,-0.532573580741882,0,0,"Javier Hernández Hernández","UDI","Región de Los Lagos",25
855,3,0.202866047620773,0.537136912345886,0,0,"Carlos Abel Jarpa Wevar","PRad","Región del Bío Bío",19
856,3,0.498497307300568,0.46019259095192,0,0,"Tucapel Jiménez Fuentes","PPD","Región Metropolitana de Santiago",13
862,3,0.0209699291735888,0.231563359498978,0,0,"Pablo Lorenzini Basso","DC","Región del Maule",17
865,3,-0.672803342342377,-0.0314640700817108,0,0,NA,NA,NA,NA
866,3,0.126513123512268,-0.249083235859871,0,0,"Fernando Meza Moncada","PRad","Región de La Araucanía",23
869,3,0.515546023845673,0.505512058734894,0,0,"Manuel Monsalve Benavides","PS","Región del Bío Bío",21
872,3,0.545830130577087,-0.0807507708668709,0,0,"Jaime Mulet Martínez","FRVS","Región de Atacama",4
875,3,-0.370399415493011,-0.521823287010193,0,0,"Iván Norambuena Farías","UDI","Región del Bío Bío",21
879,3,0.0477416589856148,0.344679623842239,0,0,"José Miguel Ortiz Novoa","DC","Región del Bío Bío",20
885,3,0.219074323773384,0.0895869433879852,0,0,"José Pérez Arriagada","PRad","Región del Bío Bío",21
