"legislator","period","coord1D","coord2D","se1D","se2D","nombres","partido","region","distrito"
74,2,-0.491513550281525,0.737835764884949,0,0,"Jaime Naranjo Ortiz","PS","Región del Maule",18
172,2,0.78281831741333,-0.158489137887955,0,0,"Carlos Kuschel Silva","RN","Región de Los Lagos",26
660,2,0.110218048095703,-0.605981051921844,0,0,"Manuel Matta Aragay","DC","Región del Maule",18
803,2,-0.24707318842411,-1.0182147026062,0,0,"René Alinco Bustos","IND","Región de Aysén del General Carlos Ibáñez del Campo",27
810,2,0.0101486444473267,-0.610903322696686,0,0,"Gabriel Ascencio Mansilla","DC","Región de Los Lagos",26
811,2,0.748822510242462,0.164089813828468,0,0,"Ramón Barros Montero","UDI","Región del Libertador General Bernardo O' Higgins",16
815,2,0.53891396522522,-0.220729231834412,0,0,"Sergio Bobadilla Muñoz","UDI","Región del Bío Bío",20
827,2,-0.542892932891846,0.54706597328186,0,0,"Marcelo Díaz Díaz","PS","Región de Valparaíso",7
837,2,-0.345000773668289,0.822543680667877,0,0,"Fidel Espinoza Sandoval","PS","Región de Los Lagos",25
843,2,0.624911546707153,0.298596203327179,0,0,"René Manuel García García","RN","Región de La Araucanía",23
848,2,-0.623041749000549,0.44314306974411,0,0,"Rodrigo González Torres","PPD","Región de Valparaíso",7
850,2,0.601763486862183,-0.419216930866241,0,0,"Javier Hernández Hernández","UDI","Región de Los Lagos",25
855,2,-0.139182180166245,-0.991341531276703,0,0,"Carlos Abel Jarpa Wevar","PRad","Región del Bío Bío",19
856,2,-0.402114629745483,0.602227747440338,0,0,"Tucapel Jiménez Fuentes","PPD","Región Metropolitana de Santiago",13
862,2,0.131012931466103,-0.724335074424744,0,0,"Pablo Lorenzini Basso","DC","Región del Maule",17
866,2,0.0137802287936211,-0.414584189653397,0,0,"Fernando Meza Moncada","PRad","Región de La Araucanía",23
869,2,-0.373213350772858,0.743976294994354,0,0,"Manuel Monsalve Benavides","PS","Región del Bío Bío",21
872,2,-0.615764975547791,0.6258265376091,0,0,"Jaime Mulet Martínez","FRVS","Región de Atacama",4
875,2,0.453534036874771,-0.0978271216154099,0,0,"Iván Norambuena Farías","UDI","Región del Bío Bío",21
879,2,0.113150611519814,-1.05885076522827,0,0,"José Miguel Ortiz Novoa","DC","Región del Bío Bío",20
885,2,-0.128169909119606,-0.653979539871216,0,0,"José Pérez Arriagada","PRad","Región del Bío Bío",21
