"legislator","period","coord1D","coord2D","se1D","se2D","nombres","partido","region","distrito"
74,5,0.497895479202271,0.440250754356384,0,0,"Jaime Naranjo Ortiz","PS","Región del Maule",18
172,5,-0.784584879875183,-0.300022900104523,0,0,"Carlos Kuschel Silva","RN","Región de Los Lagos",26
660,5,-0.0489186309278011,-0.425387918949127,0,0,"Manuel Matta Aragay","DC","Región del Maule",18
803,5,0.417701870203018,-0.280588239431381,0,0,"René Alinco Bustos","IND","Región de Aysén del General Carlos Ibáñez del Campo",27
810,5,0.190942943096161,0.259265959262848,0,0,"Gabriel Ascencio Mansilla","DC","Región de Los Lagos",26
811,5,-0.757992267608643,0.351672261953354,0,0,"Ramón Barros Montero","UDI","Región del Libertador General Bernardo O' Higgins",16
815,5,-0.472714126110077,0.47308349609375,0,0,"Sergio Bobadilla Muñoz","UDI","Región del Bío Bío",20
827,5,0.575381517410278,-0.173202872276306,0,0,"Marcelo Díaz Díaz","PS","Región de Valparaíso",7
837,5,0.414022892713547,0.498024255037308,0,0,"Fidel Espinoza Sandoval","PS","Región de Los Lagos",25
843,5,-0.622706592082977,-0.10746631026268,0,0,"René Manuel García García","RN","Región de La Araucanía",23
848,5,0.53906124830246,-0.0236404743045568,0,0,"Rodrigo González Torres","PPD","Región de Valparaíso",7
850,5,-0.506209790706635,0.551528751850128,0,0,"Javier Hernández Hernández","UDI","Región de Los Lagos",25
855,5,0.128600165247917,0.938780128955841,0,0,"Carlos Abel Jarpa Wevar","PRad","Región del Bío Bío",19
856,5,0.461604416370392,0.374597758054733,0,0,"Tucapel Jiménez Fuentes","PPD","Región Metropolitana de Santiago",13
862,5,-0.118991509079933,0.523336112499237,0,0,"Pablo Lorenzini Basso","DC","Región del Maule",17
866,5,0.0664118975400925,0.832700312137604,0,0,"Fernando Meza Moncada","PRad","Región de La Araucanía",23
869,5,0.456516802310944,0.462245374917984,0,0,"Manuel Monsalve Benavides","PS","Región del Bío Bío",21
872,5,0.545940041542053,0.177031189203262,0,0,"Jaime Mulet Martínez","FRVS","Región de Atacama",4
875,5,-0.443751275539398,0.576875507831573,0,0,"Iván Norambuena Farías","UDI","Región del Bío Bío",21
879,5,0.0130906421691179,0.732588529586792,0,0,"José Miguel Ortiz Novoa","DC","Región del Bío Bío",20
885,5,0.177058339118958,0.825312972068787,0,0,"José Pérez Arriagada","PRad","Región del Bío Bío",21
893,5,0.0315203964710236,-0.0124523565173149,0,0,"Jorge Sabag Villalobos","DC","Región del Bío Bío",19
897,5,0.515993237495422,0.135106846690178,0,0,"Alejandra Sepúlveda Orbenes","FRVS","Región del Libertador General Bernardo O' Higgins",16
898,5,0.132041320204735,0.145417600870132,0,0,"Gabriel Silber Romo","DC","Región Metropolitana de Santiago",8
908,5,-0.814695775508881,0.115016862750053,0,0,"Ignacio Urrutia Bonilla","UDI","Región del Maule",18
913,5,0.22809973359108,0.627761363983154,0,0,"Mario Venegas Cárdenas","DC","Región de La Araucanía",22
917,5,-0.615098655223846,0.252110600471497,0,0,"Gastón Von Mühlenbrock Zamora","UDI","Región de Los Ríos",24
920,5,0.460334956645966,0.601504445075989,0,0,"Marcelo Schilling Rodríguez","PS","Región de Valparaíso",6
923,5,-0.390285193920135,0.174156874418259,0,0,"Pedro Pablo Álvarez-Salamanca Ramírez","UDI","Región del Maule",17
925,5,0.0803894847631454,1.0667279958725,0,0,"Pepe Auth Stewart","IND","Región Metropolitana de Santiago",8
926,5,-0.575977921485901,0.178782925009727,0,0,"Nino Baltolu Rasera","UDI","Región de Arica y Parinacota",1
931,5,0.444871991872787,0.471487581729889,0,0,"Juan Luis Castro González","PS","Región del Libertador General Bernardo O' Higgins",15
936,5,0.605936586856842,-0.162343114614487,0,0,"Cristina Girardi Lavín","PPD","Región Metropolitana de Santiago",9
