"legislator","period","coord1D","coord2D","se1D","se2D","nombres","partido","region","distrito"
74,5,0.440956115722656,0.702096700668335,0,0,"Jaime Naranjo Ortiz","PS","Región del Maule",18
172,5,-0.763416767120361,-0.289815127849579,0,0,"Carlos Kuschel Silva","RN","Región de Los Lagos",26
660,5,-0.108981281518936,-0.895484387874603,0,0,"Manuel Matta Aragay","DC","Región del Maule",18
803,5,0.332423150539398,-0.872562229633331,0,0,"René Alinco Bustos","IND","Región de Aysén del General Carlos Ibáñez del Campo",27
810,5,0.135208308696747,-0.619886338710785,0,0,"Gabriel Ascencio Mansilla","DC","Región de Los Lagos",26
811,5,-0.785657346248627,-0.0562814064323902,0,0,"Ramón Barros Montero","UDI","Región del Libertador General Bernardo O' Higgins",16
815,5,-0.539642572402954,0.173708587884903,0,0,"Sergio Bobadilla Muñoz","UDI","Región del Bío Bío",20
827,5,0.540637612342834,-0.0268202722072601,0,0,"Marcelo Díaz Díaz","PS","Región de Valparaíso",7
837,5,0.333044320344925,0.823565423488617,0,0,"Fidel Espinoza Sandoval","PS","Región de Los Lagos",25
843,5,-0.641490817070007,0.242176532745361,0,0,"René Manuel García García","RN","Región de La Araucanía",23
848,5,0.5177001953125,0.503413021564484,0,0,"Rodrigo González Torres","PPD","Región de Valparaíso",7
850,5,-0.580949664115906,0.00144471228122711,0,0,"Javier Hernández Hernández","UDI","Región de Los Lagos",25
855,5,0.0101460292935371,-0.92509800195694,0,0,"Carlos Abel Jarpa Wevar","PRad","Región del Bío Bío",19
856,5,0.413680970668793,0.631287753582001,0,0,"Tucapel Jiménez Fuentes","PPD","Región Metropolitana de Santiago",13
862,5,-0.227012470364571,-0.724638700485229,0,0,"Pablo Lorenzini Basso","DC","Región del Maule",17
866,5,-0.0764599964022636,-0.431801348924637,0,0,"Fernando Meza Moncada","PRad","Región de La Araucanía",23
869,5,0.413160502910614,0.709369719028473,0,0,"Manuel Monsalve Benavides","PS","Región del Bío Bío",21
872,5,0.531795382499695,0.628088176250458,0,0,"Jaime Mulet Martínez","FRVS","Región de Atacama",4
875,5,-0.52513974905014,0.0330875478684902,0,0,"Iván Norambuena Farías","UDI","Región del Bío Bío",21
879,5,-0.116540223360062,-0.927916049957275,0,0,"José Miguel Ortiz Novoa","DC","Región del Bío Bío",20
885,5,0.0199817009270191,-0.639640212059021,0,0,"José Pérez Arriagada","PRad","Región del Bío Bío",21
893,5,-0.0334648191928864,-0.715189337730408,0,0,"Jorge Sabag Villalobos","DC","Región del Bío Bío",19
897,5,0.503644466400146,0.65980064868927,0,0,"Alejandra Sepúlveda Orbenes","FRVS","Región del Libertador General Bernardo O' Higgins",16
898,5,0.076375387609005,-0.363541007041931,0,0,"Gabriel Silber Romo","DC","Región Metropolitana de Santiago",8
908,5,-0.838717758655548,-0.0789085328578949,0,0,"Ignacio Urrutia Bonilla","UDI","Región del Maule",18
913,5,0.112360425293446,-0.517965257167816,0,0,"Mario Venegas Cárdenas","DC","Región de La Araucanía",22
917,5,-0.674201965332031,0.161840677261353,0,0,"Gastón Von Mühlenbrock Zamora","UDI","Región de Los Ríos",24
920,5,0.391855001449585,0.784535944461823,0,0,"Marcelo Schilling Rodríguez","PS","Región de Valparaíso",6
923,5,-0.441672563552856,-0.0392657667398453,0,0,"Pedro Pablo Álvarez-Salamanca Ramírez","UDI","Región del Maule",17
925,5,-0.0915267989039421,-0.966430068016052,0,0,"Pepe Auth Stewart","IND","Región Metropolitana de Santiago",8
926,5,-0.623573005199432,0.362605631351471,0,0,"Nino Baltolu Rasera","UDI","Región de Arica y Parinacota",1
931,5,0.358891636133194,0.828507542610168,0,0,"Juan Luis Castro González","PS","Región del Libertador General Bernardo O' Higgins",15
936,5,0.597859561443329,0.436941742897034,0,0,"Cristina Girardi Lavín","PPD","Región Metropolitana de Santiago",9
940,5,-0.79947954416275,0.0325952246785164,0,0,"María José Hoffmann Opazo","UDI","Región de Valparaíso",7
