"period","legislator","party","name","coord1D","coord2D","se1D","se2D","var1D","var2D","loglikelihood","numVotes","numErrors","GMP","partido","nombres","region","distrito"
1,74,"PS","74",0.508365988731384,0.749748826026917,0,0,0,0,-2.16570425033569,23,0,0.910136163234711,"PS","Jaime Naranjo Ortiz","Región del Maule",18
1,172,"RN","172",-0.789285480976105,-0.114713825285435,0,0,0,0,-1.16449010372162,34,0,0.966330170631409,"RN","Carlos Kuschel Silva","Región de Los Lagos",26
1,660,"DC","660",-0.110630303621292,-0.509479939937592,0,0,0,0,-0.21096932888031,11,0,0.981003701686859,"DC","Manuel Matta Aragay","Región del Maule",18
1,803,"IND","803",0.218623206019402,-1.06676554679871,0,0,0,0,-32.0387153625488,31,15,0.355757147073746,"IND","René Alinco Bustos","Región de Aysén del General Carlos Ibáñez del Campo",27
1,810,"DC","810",-0.0586009547114372,-0.607908964157104,0,0,0,0,-7.74139356613159,29,5,0.765715479850769,"DC","Gabriel Ascencio Mansilla","Región de Los Lagos",26
1,811,"UDI","811",-0.736544251441956,0.237546876072884,0,0,0,0,-1.4692656993866,32,0,0.955123543739319,"UDI","Ramón Barros Montero","Región del Libertador General Bernardo O' Higgins",16
1,815,"UDI","815",-0.538671135902405,-0.352208495140076,0,0,0,0,-1.88436770439148,33,0,0.94449770450592,"UDI","Sergio Bobadilla Muñoz","Región del Bío Bío",20
1,827,"PS","827",0.543644666671753,0.738361358642578,0,0,0,0,-2.66526961326599,28,1,0.909201800823212,"PS","Marcelo Díaz Díaz","Región de Valparaíso",7
1,837,"PS","837",0.348986238241196,0.822203099727631,0,0,0,0,-6.83943271636963,27,2,0.776225388050079,"PS","Fidel Espinoza Sandoval","Región de Los Lagos",25
1,843,"RN","843",-0.619385063648224,0.317402750253677,0,0,0,0,-5.0426230430603,22,3,0.795161426067352,"RN","René Manuel García García","Región de La Araucanía",23
1,848,"PPD","848",0.658155620098114,0.423053056001663,0,0,0,0,-9.77260780334473,28,4,0.705377817153931,"PPD","Rodrigo González Torres","Región de Valparaíso",7
1,850,"UDI","850",-0.608701467514038,-0.559437453746796,0,0,0,0,-1.55999374389648,31,1,0.950922787189484,"UDI","Javier Hernández Hernández","Región de Los Lagos",25
1,855,"PRad","855",0.182194203138351,-1.01342272758484,0,0,0,0,-10.8696413040161,30,4,0.696058630943298,"PRad","Carlos Abel Jarpa Wevar","Región del Bío Bío",19
1,856,"PPD","856",0.398259192705154,0.592541098594666,0,0,0,0,-2.08378124237061,32,0,0.936956763267517,"PPD","Tucapel Jiménez Fuentes","Región Metropolitana de Santiago",13
1,862,"DC","862",-0.0990130975842476,-0.72423392534256,0,0,0,0,-4.0537223815918,19,3,0.807870268821716,"DC","Pablo Lorenzini Basso","Región del Maule",17
1,866,"PRad","866",0.0071130245923996,-0.408845156431198,0,0,0,0,-13.1721982955933,27,7,0.613939344882965,"PRad","Fernando Meza Moncada","Región de La Araucanía",23
1,869,"PS","869",0.359897613525391,0.755511820316315,0,0,0,0,-4.77951335906982,25,1,0.825983464717865,"PS","Manuel Monsalve Benavides","Región del Bío Bío",21
1,872,"FRVS","872",0.643754780292511,0.625072658061981,0,0,0,0,-1.06195306777954,18,0,0.94270920753479,"FRVS","Jaime Mulet Martínez","Región de Atacama",4
1,875,"UDI","875",-0.429665476083755,-0.141465336084366,0,0,0,0,-2.06616377830505,28,1,0.928865253925323,"UDI","Iván Norambuena Farías","Región del Bío Bío",21
1,879,"DC","879",-0.112020738422871,-1.1024956703186,0,0,0,0,-11.1618356704712,34,7,0.720154643058777,"DC","José Miguel Ortiz Novoa","Región del Bío Bío",20
1,885,"PRad","885",0.164232641458511,-0.658759355545044,0,0,0,0,-6.11308002471924,19,3,0.724885880947113,"PRad","José Pérez Arriagada","Región del Bío Bío",21
1,893,"DC","893",-0.212585389614105,-0.906716406345367,0,0,0,0,-7.31287479400635,32,3,0.795704543590546,"DC","Jorge Sabag Villalobos","Región del Bío Bío",19
1,897,"FRVS","897",0.570021271705627,0.681243181228638,0,0,0,0,-5.04832315444946,28,3,0.83502197265625,"FRVS","Alejandra Sepúlveda Orbenes","Región del Libertador General Bernardo O' Higgins",16
