"period","legislator","party","name","coord1D","coord2D","se1D","se2D","var1D","var2D","loglikelihood","numVotes","numErrors","GMP","partido","nombres","region","distrito"
1,74,"PS",74,-0.501636505126953,-0.602621555328369,0,0,0,0,-35.9937133789062,190,14,0.827421844005585,"PS","Jaime Naranjo Ortiz","Región del Maule",18
1,172,"RN",172,0.764815032482147,0.275979578495026,0,0,0,0,-10.8259649276733,232,2,0.954408347606659,"RN","Carlos Kuschel Silva","Región de Los Lagos",26
1,660,"DC",660,-0.0767180100083351,0.00502052903175354,0,0,0,0,-8.27009677886963,84,3,0.906237781047821,"DC","Manuel Matta Aragay","Región del Maule",18
1,803,"IND",803,-0.261918872594833,0.581849634647369,0,0,0,0,-112.015525817871,225,38,0.607838034629822,"IND","René Alinco Bustos","Región de Aysén del General Carlos Ibáñez del Campo",27
1,810,"DC",810,-0.118057385087013,0.020843580365181,0,0,0,0,-51.4483184814453,229,22,0.798783659934998,"DC","Gabriel Ascencio Mansilla","Región de Los Lagos",26
1,811,"UDI",811,0.724996030330658,-0.174827575683594,0,0,0,0,-4.5900411605835,209,1,0.978277504444122,"UDI","Ramón Barros Montero","Región del Libertador General Bernardo O' Higgins",16
1,815,"UDI",815,0.52784252166748,-0.428329110145569,0,0,0,0,-5.97040414810181,151,2,0.961232364177704,"UDI","Sergio Bobadilla Muñoz","Región del Bío Bío",20
1,827,"PS",827,-0.557262659072876,-0.179075106978416,0,0,0,0,-50.0754470825195,226,20,0.801257610321045,"PS","Marcelo Díaz Díaz","Región de Valparaíso",7
1,837,"PS",837,-0.429538369178772,-0.487976104021072,0,0,0,0,-19.1881504058838,147,9,0.877628743648529,"PS","Fidel Espinoza Sandoval","Región de Los Lagos",25
1,843,"RN",843,0.54605895280838,-0.0537886172533035,0,0,0,0,-15.983154296875,125,5,0.879971981048584,"RN","René Manuel García García","Región de La Araucanía",23
1,848,"PPD",848,-0.53906124830246,0.0236404743045568,0,0,0,0,-42.0598564147949,195,18,0.80598384141922,"PPD","Rodrigo González Torres","Región de Valparaíso",7
1,850,"UDI",850,0.539688348770142,-0.459056079387665,0,0,0,0,-8.43566989898682,152,1,0.946014106273651,"UDI","Javier Hernández Hernández","Región de Los Lagos",25
1,855,"PRad",855,-0.144129440188408,-0.949291110038757,0,0,0,0,-23.7066917419434,171,6,0.870545208454132,"PRad","Carlos Abel Jarpa Wevar","Región del Bío Bío",19
1,856,"PPD",856,-0.426518261432648,-0.511827945709229,0,0,0,0,-19.0192928314209,130,6,0.863896548748016,"PPD","Tucapel Jiménez Fuentes","Región Metropolitana de Santiago",13
1,862,"DC",862,-0.0353926569223404,-0.164094850420952,0,0,0,0,-35.1333923339844,113,11,0.732776165008545,"DC","Pablo Lorenzini Basso","Región del Maule",17
1,866,"PRad",866,-0.00242528691887856,-0.834009230136871,0,0,0,0,-25.1808242797852,167,9,0.860033988952637,"PRad","Fernando Meza Moncada","Región de La Araucanía",23
1,869,"PS",869,-0.477277904748917,-0.487839549779892,0,0,0,0,-38.7993278503418,222,15,0.83964866399765,"PS","Manuel Monsalve Benavides","Región del Bío Bío",21
