"","correctYea","wrongYea","wrongNay","correctNay","GMP","PRE","spread1D","spread2D","midpoint1D","midpoint2D"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",79,1,0,67,0.947909951210022,0.985294117647059,-0.717732906341553,0.484529405832291,-0.199083134531975,-0.230166181921959
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",75,1,0,67,0.948112845420837,0.985294117647059,-0.716512560844421,0.540059447288513,-0.199660181999207,-0.230186864733696
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",66,3,2,68,0.876617252826691,0.926470588235294,-0.499725699424744,-0.19714780151844,0.0684977099299431,-0.254709124565125
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",77,1,0,63,0.947263598442078,0.984375,-0.676770389080048,0.450894862413406,-0.180178925395012,-0.192987889051437
"11",77,2,0,65,0.93159282207489,0.970149253731343,-0.645544171333313,0.267870336771011,-0.131149768829346,-0.285368293523788
"12",79,1,0,66,0.947681844234467,0.985074626865672,-0.700311243534088,0.465180844068527,-0.190358504652977,-0.216309979557991
"13",41,14,7,83,0.779723465442657,0.5625,-0.453584969043732,-0.317828267812729,0.533906579017639,-0.105965383350849
"14",79,2,0,66,0.93102365732193,0.970588235294118,-0.661365270614624,0.274388074874878,-0.1433434933424,-0.296876132488251
"15",79,1,0,67,0.947797238826752,0.985294117647059,-0.70304924249649,0.463734239339828,-0.189128518104553,-0.22005395591259
"16",80,1,0,67,0.948222815990448,0.985294117647059,-0.717881739139557,0.48379722237587,-0.199058949947357,-0.23075644671917
"17",80,1,0,67,0.948222815990448,0.985294117647059,-0.717881739139557,0.48379722237587,-0.199058949947357,-0.23075644671917
"18",80,1,0,67,0.948222815990448,0.985294117647059,-0.717881739139557,0.48379722237587,-0.199058949947357,-0.23075644671917
"19",78,1,0,66,0.946737885475159,0.985074626865672,-0.686452627182007,0.398269444704056,-0.181439369916916,-0.118945829570293
"20",80,1,0,67,0.948222815990448,0.985294117647059,-0.717881739139557,0.48379722237587,-0.199058949947357,-0.23075644671917
"21",80,1,0,67,0.948222815990448,0.985294117647059,-0.717881739139557,0.48379722237587,-0.199058949947357,-0.23075644671917
"22",79,1,0,67,0.947797238826752,0.985294117647059,-0.70304924249649,0.463734239339828,-0.189128518104553,-0.22005395591259
"23",80,1,0,67,0.948222815990448,0.985294117647059,-0.717881739139557,0.48379722237587,-0.199058949947357,-0.23075644671917
"24",66,1,3,70,0.920795142650604,0.942028985507246,0.598676085472107,-0.440151065587997,-0.115134574472904,-0.138281792402267
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",67,0,1,76,0.953524529933929,0.985294117647059,0.751026749610901,-0.573057949542999,-0.209771662950516,-0.184497177600861
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",106,2,0,13,0.910532832145691,0.866666666666667,1.72393822669983,0.50974577665329,0.868013441562653,0.0102794235572219
"33",85,2,4,57,0.918032467365265,0.898305084745763,0.860425472259521,0.623131692409515,0.401738584041595,-0.255673944950104
"34",71,2,5,70,0.905753254890442,0.902777777777778,0.698811829090118,-0.1745345890522,0.0811393484473228,-0.228458940982819
"35",75,1,3,69,0.917068958282471,0.942857142857143,0.884274542331696,-0.0234694201499224,0.146537691354752,0.493182957172394
"36",80,5,5,58,0.859781563282013,0.841269841269841,0.614109337329865,0.0104069588705897,0.299479812383652,0.698178112506866
"37",80,5,4,59,0.881288170814514,0.859375,0.708723485469818,0.00599881028756499,0.290300726890564,0.675321936607361
"38",69,1,0,66,0.973327040672302,0.985074626865672,-0.968234598636627,0.56426340341568,-0.1481574177742,-0.247424319386482
"39",65,0,0,53,0.99601936340332,1,-1.53656852245331,0.659657180309296,-0.290435314178467,-0.856410622596741
"40",55,0,0,64,0.995455920696259,1,1.47572410106659,-0.564531207084656,-0.475724101066589,-0.835890293121338
